domain,scraped_url,company_name,num_employees,parent_company,annual_sales
elevenwarriors.com,www.elevenwarriors.com,"Eleven Warriors, LLC",3,NA,0.66M
elle.fr,www.elle.fr,ELLE,3,NA,1.04M
elmundo.es,www.elmundo.es,"UNIDAD EDITORIAL, SA",399,RIZZOLI CORRIERE DELLA SERA MEDIAGROUP SPA,134.16M
elnacional.cat,www.elnacional.cat,GRUP LES NOTICIES DE CATALUNYA SL.,41,CORPORACIO LES NOTICIES DE CATALUNYA SL.,3.93M
elnortedecastilla.es,www.elnortedecastilla.es,"EL NORTE DE CASTILLA, SOCIEDAD ANONIMA",109,VOCENTO GESTION DE MEDIOS Y SERVICIOS SL.,14.87M
elpais.com,www.elpais.com,EDICIONES EL PAIS SL,396,DIARIO EL PAIS SL,110.75M
elperiodico.com,www.elperiodico.com,EL PERIODICO DE CATALUNYA SL.,200,EDICIONES PRIMERA PLANA SA,33.92M
eltiempo.es,www.eltiempo.es,EL TIEMPO PREVISTO SLU,39,Pelmorex Corp,6.82M
emerce.nl,www.emerce.nl,Emerce B.V.,25,Digital Revolution Media B.V.,3.25M
emissourian.com,www.emissourian.com,The Missourian Publishing Co,105,NA,13.69M
epochtimes.de,www.epochtimes.de,Epoch Times Europe GmbH,5,NA,0.73M
espn.com,www.espn.com,Espn Productions Inc,1250,"Espn, Inc.",0.56B
espncricinfo.com,www.espncricinfo.com,ESPN SPORTS MEDIA LIMITED,73,ESPN GLOBAL VENTURES LIMITED,32.73M
esquire.com,www.esquire.com,She Mag,621,NA,40.31M
estrepublicain.fr,www.estrepublicain.fr,SOCIETE DU JOURNAL L'EST REPUBLICAIN,540,BANQUE FEDERATIVE DU CREDIT MUTUEL,87.16M
europapress.es,www.europapress.es,EUROPA PRESS DELEGACIONES SA,219,HEREDIA 3G SA.,12.50M
evous.fr,www.evous.fr,SYNDICAT MIXTE DE L'OPERA ANGERS NANTES,100,NA,9.80M
expansion.com,www.expansion.com,UNIDAD EDITORIAL INFORMACION ECONOMICA SL,100,"UNIDAD EDITORIAL, SA",20.47M
express.co.uk,www.express.co.uk,EXPRESS NEWSPAPERS,404,REACH NETWORK MEDIA LIMITED,200.49M
fairfieldcitizenonline.com,www.fairfieldcitizenonline.com,Fairfield Citizen,7,NA,49.53K
farodevigo.es,www.farodevigo.es,FARO DE VIGO SA,150,EPIGRAFICAS SL,18.24M
faz.net,www.faz.net,Frankfurter Allgemeine Zeitung Gesellschaft mit beschränkter Haftung,748,FAZIT-STIFTUNG Gemeinnützige Verlagsgesellschaft mbH,262.09M
fivethirtyeight.com,www.fivethirtyeight.com,Fivethirtyeight,11,NA,0.60M
floridatoday.com,www.floridatoday.com,Rk Real Estate Holding LLC,3,NA,123.51K
focus.de,www.focus.de,Focus Magazin Verlag GmbH,155,BurdaVerlag GmbH,32.67M
foxbusiness.com,www.foxbusiness.com,"Fox Business Advisors, LLC",9,NA,204.10K
foxnews.com,www.foxnews.com,"Fox News Network, LLC",980,Fox Corporation,0.85B
foxsports.com,www.foxsports.com,"Fox Sports, Inc.",150,"Fox Entertainment Group, LLC",192.62M
france24.com,www.france24.com,FRANCE MEDIAS MONDE PUBLICITE,3,FRANCE MEDIAS MONDE,357.27K
francetvinfo.fr,www.francetvinfo.fr,FRANCE TELEVISIONS,9021,AGENCE DES PARTICIPATIONS DE L'ETAT,3.55B
fredericknewspost.com,www.fredericknewspost.com,"Randall Family, LLC",220,NA,34.35M
freep.com,www.freep.com,"Detroit Free Press, Inc.",325,"Medianews Group, Inc.",49.68M
freerepublic.com,www.freerepublic.com,Free Republic LLC,3,NA,81.61K
frenchweb.fr,www.frenchweb.fr,AG'TECH,1,NA,155.06K
gainesville.com,www.gainesville.com,Gainesville Sun Publishing Company,293,"Halifax Media Holdings, LLC",36.90M
gala.de,www.gold-gala.de,Andreas Ellermann,1,NA,67.60K
gamesradar.com,www.gamesradar.com,Newsrama Newsagents,2,NA,109.24K
gazeta.ru,www.gazeta.ru,"GAZETA.RU, AO",101,"RAMBLER&KO MEDIA, OOO",3.73M
gazette.com,www.gazette.com,The Gazette,29,NA,1.53M
news-gazette.com,www.news-gazette.com,The News-Gazette Inc,400,NA,65.41M
gazzetta.it,www.gazzetta.it,"Gazzetta Publishing Co Ltd, La",3,NA,363.35K
gazzettadiparma.it,www.gazzettadiparma.it,GAZZETTA DI PARMA SRL,62,GAZZETTA DI PARMA FINANZIARIA SPA,16.54M
